brand,model,model_year,engine,transmission,int_col,accident,price
Acura,TL Technology,2013,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,None reported,24000
Ford,F-150 Lariat,2020,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,46995
Audi,A8 L 55,2019,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Brown,None reported,50000
Land,Rover Range Rover Evoque SE,2020,2.0 Liter,Automatic,Ebony,None reported,36598
Bentley,Continental GT W12,2021,"6L W-12 port/direct injection, DOHC, variable valve control, twi",Automatic,Linen,None reported,239991
Dodge,Sprinter 2500 High Roof,2004,154.0HP 2.7L 5 Cylinder Engine Diesel Fuel,A/T,Gray,None reported,24000
INFINITI,QX80 Base,2016,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Beige,At least 1 accident or damage reported,25950
Lexus,NX 300 Base,2021,2.0L I4 16V PDI DOHC Turbo,6-Speed Automatic,Black,At least 1 accident or damage reported,35999
Porsche,Taycan Base,2021,321.0HP Electric Motor Electric Fuel System,2-Speed A/T,Beige,At least 1 accident or damage reported,83499
Porsche,Cayman Base,2007,245.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,M/T,Gray,At least 1 accident or damage reported,24999
BMW,X6 xDrive40i,2020,3.0 Liter Turbo,Automatic,Black,None reported,57998
GMC,Acadia SLE-2,2015,281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,None reported,17000
Porsche,Boxster S,2005,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,29800
Land,Rover Range Rover Sport Supercharged,2008,390.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,None reported,7500
Audi,S5 3.0T Premium,2021,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,None reported,51800
Subaru,Outback Limited XT,2020,2.4L H4 16V GDI DOHC Turbo,Automatic CVT,Black,At least 1 accident or damage reported,30427
Mercedes-Benz,GL-Class GL 450,2011,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,11999
RAM,1500 Rebel,2018,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,37050
Nissan,Titan S,2017,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,None reported,32324
Chevrolet,Silverado 3500 LTZ,2022,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Gray,None reported,67500
BMW,550 Gran Turismo i,2013,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,None reported,16800
Volkswagen,Golf GTI 2.0T SE 4-Door,2018,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,23000
Ford,F-150 XLT,2019,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,None reported,34500
Mercedes-Benz,SLK-Class SLK 350,2015,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,At least 1 accident or damage reported,30500
Nissan,Maxima SV,2022,3.5L V6 24V GDI DOHC,Automatic CVT,Charcoal,None reported,24980
Honda,Accord Sport,2013,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,None reported,6000
Porsche,911 GT3,2018,4.0L H6 24V GDI DOHC,7-Speed Automatic with Auto-Shift,Black,None reported,188900
Audi,S4 3.0T Premium Plus,2022,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,53900
Honda,Pilot Elite,2021,3.5L V6 24V GDI SOHC,9-Speed Automatic,Black,None reported,38998
Genesis,G70 3.3T Advanced,2019,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,29999
Toyota,Highlander Base,2001,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,4300
Acura,MDX 3.7L Advance,2013,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,33000
BMW,M6 Gran Coupe Base,2017,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,58000
Dodge,Durango GT,2022,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Black,At least 1 accident or damage reported,36599
Porsche,911 GT3,2018,"4L H-6 gasoline direct injection, DOHC, VarioCam Plus variable v","Manual, 6-Spd",BLACK,None reported,209000
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,V6,Automatic,Ivory / Ebony,At least 1 accident or damage reported,30775
Maserati,Ghibli S Q4,2018,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,None reported,43000
Hummer,H2 Base,2003,316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,12500
BMW,X5 xDrive35i,2014,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,,20000
BMW,335 i xDrive,2013,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,19999
Jeep,Compass Latitude,2014,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,10950
Toyota,Sequoia TRD Pro,2020,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,61599
BMW,M3 Base,2003,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,15000
Ford,Bronco Big Bend,2022,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,–,None reported,44000
Acura,RDX w/Advance Package,2021,2.0 Liter Turbo,Automatic,Parchment,None reported,39798
GMC,Yukon XL SLT,2023,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,67800
Audi,A4 2.0T Premium Plus,2015,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,8-Speed A/T,Gray,At least 1 accident or damage reported,16000
Audi,A7 3.0T Premium,2019,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,41500
Dodge,Ram 1500 Laramie Mega Cab,2006,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,10900
Lamborghini,Gallardo LP550-2,2013,550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,150000
Tesla,Model 3 Long Range,2021,Electric,1-Speed Automatic,Black,None reported,35999
Chevrolet,Corvette Base,2003,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,22000
Chevrolet,Corvette Stingray w/1LT,2023,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,None reported,82500
Honda,CR-V Touring,2019,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,Gray,None reported,28324
Ford,F-250 XLT,2014,400.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Silver,At least 1 accident or damage reported,40999
Toyota,Camry Solara SE,2008,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,,13900
Chrysler,Crossfire Limited,2005,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Red,At least 1 accident or damage reported,6000
Ford,Explorer XLT,2017,290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,Beige,None reported,13000
Chevrolet,Camaro Z28,2002,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,M/T,Black,At least 1 accident or damage reported,21000
Mercedes-Benz,Sprinter 2500,2011,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,Gray,None reported,31999
Lincoln,Corsair Standard,2022,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,None reported,38500
Land,Rover Range Rover Velar P250 SE R-Dynamic,2019,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,38000
BMW,535 i xDrive,2015,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,At least 1 accident or damage reported,20950
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,49999
Chevrolet,Corvette Z06 w/2LZ,2023,670.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,None reported,179000
Mazda,MX-5 Miata Sport,2006,170.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,4999
Audi,A5 2.0T Premium,2018,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,At least 1 accident or damage reported,28000
Toyota,Prius Touring,2009,76.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Beige,None reported,6999
BMW,M4 Base,2020,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,63999
RAM,1500 Classic SLT,2021,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Black,None reported,35113
Buick,Enclave Leather,2015,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,None reported,16000
Mercedes-Benz,GLS 450 Base 4MATIC,2018,3.0 Liter DOHC Twin Turbo,Automatic,–,At least 1 accident or damage reported,38598
Dodge,Dart SE,2015,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,12000
Volkswagen,e-Golf SE,2016,115.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,None reported,12000
Lexus,IS 350 Base,2007,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,At least 1 accident or damage reported,12900
Porsche,911 Carrera,2010,345.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,51750
Ford,F-150 XLT,2018,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,30000
Toyota,Highlander XLE,2019,3.5L V6 24V PDI DOHC,8-Speed Automatic,Black,None reported,30275
Acura,TLX Base,2016,206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,None reported,16500
Toyota,Highlander Hybrid XLE,2019,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,None reported,36000
Dodge,Challenger SRT Hellcat,2015,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,64990
Lincoln,Corsair Reserve,2021,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Sandstone,None reported,36999
BMW,650 i,2006,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,10500
Audi,A3 2.0T Premium,2016,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,15499
Hyundai,Genesis 3.8,2015,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,17000
RAM,1500 Laramie,2022,5.7L V8 16V MPFI OHV,8-Speed Automatic,Black,None reported,46999
BMW,M3 Base,2009,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,28000
Volvo,S60 T6 Momentum,2020,2.0L I4 16V GDI DOHC,8-Speed Automatic,Charcoal,At least 1 accident or damage reported,27800
Lexus,IS 350 F Sport,2021,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,None reported,44000
BMW,335 i,2009,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,None reported,19999
Chevrolet,Silverado 1500 Base,2000,200.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,27500
INFINITI,QX80 Base,2015,5.6L V8 32V GDI DOHC,7-Speed Automatic,Black,None reported,20470
Ford,F-350 XL,2017,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Beige,None reported,40000
Lexus,GX 470 Base,2004,235.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,At least 1 accident or damage reported,7350
GMC,Acadia SLE,2020,2.5L I4 16V GDI DOHC,9-Speed Automatic,Jet Black,,29645
Nissan,GT-R Premium,2010,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,72999
Dodge,Durango R/T,2022,5.7L V8 16V MPFI OHV,8-Speed Automatic,Black,None reported,49999
Ford,F-250 Lariat,2015,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,Black,None reported,45000
Toyota,Avalon XLS,2004,210.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,5500
Porsche,Panamera Base,2018,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,At least 1 accident or damage reported,53999
Mercedes-Benz,SL-Class SL550 Roadster,2008,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Beige,None reported,16800
Mercedes-Benz,S-Class S 63 AMG,2015,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,–,None reported,59750
Mazda,CX-7 Grand Touring,2007,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,None reported,6950
Chevrolet,Camaro 2SS,2016,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,None reported,21500
Tesla,Model X Performance,2020,Electric,1-Speed Automatic,Black,None reported,65999
Mercedes-Benz,E-Class E 350 4MATIC,2014,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,15500
BMW,M5 Base,2018,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,At least 1 accident or damage reported,68000
Chevrolet,Camaro 1LT,2021,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,M/T,Black,None reported,29900
Subaru,Impreza 2.0i,2019,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,At least 1 accident or damage reported,21250
Nissan,Armada SV,2017,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,16995
Subaru,Forester Premium,2021,2.5L H4 16V GDI DOHC,Automatic CVT,Black,None reported,27899
Cadillac,SRX Luxury Collection,2016,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,None reported,15500
Dodge,Challenger SRT8,2011,–,5-Speed A/T,White,At least 1 accident or damage reported,22500
Porsche,911 Carrera S,2014,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Brown,None reported,78500
Mercedes-Benz,AMG GT 63 S 4-Door,2020,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Black,None reported,117900
Nissan,350Z Touring,2007,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,M/T,Green,At least 1 accident or damage reported,12000
Mercedes-Benz,Sprinter 2500 Standard Roof,2021,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,7-Speed A/T,Black,None reported,56500
Acura,TLX V6 Advance,2019,3.5L V6 24V GDI SOHC,9-Speed Automatic,Ebony,At least 1 accident or damage reported,30999
Jeep,Wrangler SE,2003,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Gray,None reported,12499
Mercedes-Benz,M-Class ML 350,2011,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,11900
BMW,X3 xDrive30i,2020,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,At least 1 accident or damage reported,40000
Rolls-Royce,Cullinan,2022,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Grace White,None reported,449995
Toyota,4Runner SR5,2006,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,16900
Hyundai,Kona N Base,2023,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic with Auto-Shift,Black,None reported,34599
BMW,M3 CS,2018,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,70000
Mercedes-Benz,E-Class E 350 4MATIC,2013,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,13000
Ford,Expedition Platinum,2019,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,None reported,45500
RAM,ProMaster 2500 Window Van High Roof,2016,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,None reported,65000
Mercedes-Benz,AMG E 63 S 4MATIC,2019,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,At least 1 accident or damage reported,96000
Chevrolet,Silverado 1500 LT Crew Cab,2006,345.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,6995
Mercedes-Benz,GLE 350 Base,2020,2.0 Liter Turbo,Automatic,Macchiato/Magmagrey,None reported,49998
Buick,Enclave Premium,2017,3.6L V6 24V GDI DOHC,6-Speed Automatic,Light Titanium,At least 1 accident or damage reported,17550
Mercedes-Benz,Maybach S S 600,2016,523.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,79999
Porsche,911 Carrera S,2010,385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,71400
Mercedes-Benz,E-Class E 550,2016,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,At least 1 accident or damage reported,33995
Kia,Sorento Hybrid EX,2022,227.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,6-Speed A/T,White,None reported,37500
Dodge,Charger R/T,2012,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,At least 1 accident or damage reported,13500
BMW,M6 Gran Coupe Base,2019,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,67900
Nissan,Armada Platinum,2018,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,20999
MINI,Cooper S Base,2007,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,6250
Ford,Focus RS Base,2016,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,39000
Porsche,911 Carrera Cabriolet,2006,325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,37500
Land,Rover Range Rover Sport HSE Dynamic,2019,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,None reported,43500
Mazda,MX-5 Miata Grand Touring,2012,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Beige,At least 1 accident or damage reported,20199
Bentley,Continental GT Base,2009,552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,63000
BMW,X5 xDrive 35i Sport Activity,2012,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,At least 1 accident or damage reported,12900
Audi,A7 Premium Plus,2020,3.0 Liter Turbo,Automatic,Black,None reported,49998
GMC,Yukon XL Denali,2016,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,29500
RAM,2500 Laramie,2019,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,None reported,65000
Kia,Forte Koup EX,2015,173.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,8500
Ford,Transit-250 Base,2020,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,38500
Jeep,Wagoneer Series III,2022,5.7L V8 16V MPFI OHV,8-Speed Automatic,Global Black,None reported,68362
Subaru,WRX Limited,2017,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,At least 1 accident or damage reported,19950
Jeep,Wrangler X,2005,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,None reported,11000
Nissan,Armada Platinum,2017,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,20900
Mercedes-Benz,E-Class E 350 4MATIC,2011,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,9250
Rivian,R1S Adventure Package,2023,835.0HP Electric Motor Electric Fuel System,A/T,White,None reported,94000
Kia,Forte LXS,2020,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,16995
Ford,F-150 XLT,2022,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,None reported,47500
Kia,Forte GT-Line,2022,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,24000
Jeep,Gladiator Sport S,2020,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,–,None reported,39500
BMW,750 i xDrive,2019,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,44495
Ford,F-250 LARIAT,2021,Intercooled Turbo Diesel V-8 6.7 L/406,Automatic,Black,None reported,76598
Chevrolet,Suburban Premier,2018,5.3L V8 16V GDI OHV,6-Speed Automatic,Jet Black,None reported,43775
Chevrolet,Corvette Stingray w/1LT,2022,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,99999
BMW,328 i xDrive,2013,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,13500
Dodge,Challenger R/T Scat Pack,2019,–,6-Speed M/T,Black,None reported,50000
Toyota,Highlander XLE,2021,3.5L V6 24V PDI DOHC,8-Speed Automatic,Black,None reported,34645
Nissan,Altima 2.5 SV,2020,2.5L I4 16V GDI DOHC,Automatic CVT,Gray,None reported,23599
Chevrolet,Cruze LS,2018,153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,8500
Ford,Maverick XL,2023,191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,None reported,29999
Chevrolet,Traverse Premier,2018,3.6L V6 24V GDI DOHC,9-Speed Automatic,Jet Black,None reported,30989
Kia,Sportage LX,2023,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,31900
BMW,M4 Base,2018,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,64000
Ford,F-350 Platinum,2019,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,Black,None reported,73500
Lexus,IS 250 Base,2010,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,10700
BMW,X3 xDrive35i,2011,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,12975
Chevrolet,Express 1500 Work Van,2011,5.3L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,Medium Pewter,None reported,22495
Nissan,Leaf S,2018,147.0HP Electric Motor Electric Fuel System,A/T,Black,At least 1 accident or damage reported,13999
Lexus,ES 350 Base,2015,3.5 Liter,Automatic,Parchment,None reported,21998
Chevrolet,Silverado 1500 ZR2,2022,6.2L V8 16V GDI OHV,Automatic,Jet Black,None reported,68990
Lexus,GX 460 Premium,2022,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,51900
BMW,750 Li xDrive,2012,407.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,16000
Hyundai,Sonata GLS,2010,168.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,None reported,3999
Subaru,Outback 2.5i Premium,2013,173.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,12500
BMW,X5 M Base,2012,555.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,At least 1 accident or damage reported,17000
Mercedes-Benz,S-Class S 63 AMG,2015,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,None reported,45750
Porsche,Panamera Edition,2016,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,30000
Tesla,Model 3 Performance,2021,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,None reported,55000
BMW,X5 xDrive50i,2016,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,23995
Jaguar,XF 35t Prestige,2017,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,18500
Jeep,Grand Cherokee Altitude,2020,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Black,,35470
Mercedes-Benz,SL-Class SL400,2015,3.0 Liter,Automatic,Tan,None reported,39998
Honda,S2000 CR,2008,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,28500
Mazda,Mazda3 Grand Touring,2018,2.5L I4 16V GDI DOHC,6-Speed Automatic,Parchment,At least 1 accident or damage reported,19212
Chevrolet,Camaro ZL1,2020,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,150000
Acura,TLX,2023,2.0 Liter DOHC Turbo,Automatic,Black,None reported,38598
BMW,M4 Base,2015,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,None reported,32999
Maserati,Quattroporte Sport GT,2007,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,7999
Ford,Transit-350 Base,2020,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,58000
Porsche,911 Carrera 4S,2020,3.0L H6 24V GDI DOHC Twin Turbo,7-Speed Manual,Black,None reported,134999
Ford,Expedition Max King Ranch,2021,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Mesa,None reported,62595
Audi,Q7 55 Prestige,2019,3.0L V6 24V GDI DOHC Supercharged,8-Speed Automatic,Nougat Brown,None reported,36340
Chevrolet,Suburban LT,2017,6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,None reported,27000
Maserati,Coupe Cambiocorsa,2006,390.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,None reported,17000
Bentley,Continental GT V8 S,2016,521.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,None reported,103900
Hyundai,Genesis 3.8,2010,290.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,None reported,10340
Audi,A6 45 Premium Plus,2021,248.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,None reported,40000
